IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_NAME_BOARD,MOBITEL_NAME_BOARD,HUTCH_NAME_BOARD,AIRTEL_NAME_BOARD,TOTAL_NAME_BOARD_COUNT,DIALOG_SIDE_BOARD,MOBITEL_SIDE_BOARD,HUTCH_SIDE_BOARD,AIRTEL_SIDE_BOARD,TOTAL_SIDE_BOARD_COUNT,DIALOG_TIN_BOARD,MOBITEL_TIN_BOARD,HUTCH_TIN_BOARD,AIRTEL_TIN_BOARD,TOTAL_TIN_BOARD_COUNT,NAME_BOARD_INF_S3_ARN,TIN_BOARD_INF_S3_ARN,SIDE_BOARD_INF_S3_ARN,PROFILE_NAME,SALES_AREA,CAPTURE_PHASE
34438,212804,162505,2025-04-29 06:36:35.490,2025-04-28 13:45:28.058,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/162505/1/ORIGINAL/image_34438.jpeg,7.3563068,81.0852715,Uva,Badulla,Rideemaliyadda,Keselpotha North,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/162505/1/INFERENCE/NAME_BOARD/image_34438.jpeg,,,KESARA BOOK SHOP,Badulla 3,4
30838,2141323,1675757,2025-04-29 06:36:35.490,2025-04-25 10:50:58.544,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1675757/1/ORIGINAL/image_30838.jpeg,9.2226698,80.7914205,Northern,Mullaitivu,Maritimepattu,Kanukerni West,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1675757/1/INFERENCE/NAME_BOARD/image_30838.jpeg,,,RITHVI FANCY,Mullaitivu,4
33067,55613,9532,2025-04-29 06:36:35.490,2025-04-26 10:44:55.043,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/9532/1/ORIGINAL/image_33067.jpeg,6.9857634,81.0599739,Uva,Badulla,Badulla,Badulla East,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/9532/1/INFERENCE/NAME_BOARD/image_33067.jpeg,,,RAMYA  BOOK SHOP,Badulla 1,4
32134,52202,41622,2025-04-29 06:36:35.490,2025-04-25 15:01:27.425,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/41622/1/ORIGINAL/image_32134.jpeg,6.8720502,81.3517767,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,1,0,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/41622/1/INFERENCE/NAME_BOARD/image_32134.jpeg,,,GUNASIRI COMMUNICATION,Monaragala 1,4
32685,210067,159798,2025-04-29 06:36:35.490,2025-04-26 09:55:04.828,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/159798/1/ORIGINAL/image_32685.jpeg,9.7596553,80.0294144,Northern,Jaffna,Tellipallai,Mallakam Centre,Jaffna,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/159798/1/INFERENCE/NAME_BOARD/image_32685.jpeg,,,Eveready Multi Phone shop,Jaffna Inner,4
30656,69046,72341,2025-04-29 06:36:35.490,2025-04-25 10:32:57.856,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/72341/1/ORIGINAL/image_30656.jpeg,9.7128911,79.9857175,Northern,Jaffna,Sandilipay,Navali East,Jaffna,Northern,1,0,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/72341/1/INFERENCE/NAME_BOARD/image_30656.jpeg,,,Jeeva Stores,Jaffna Inner,4
33760,52686,920,2025-04-29 06:36:35.490,2025-04-26 13:13:52.867,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/920/1/ORIGINAL/image_33760.jpeg,6.9354966,81.1573698,Uva,Badulla,Passara,Passara Town East,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/920/1/INFERENCE/NAME_BOARD/image_33760.jpeg,,,Prancy Mahal,Badulla 1,4
30592,178808,135620,2025-04-29 06:36:35.490,2025-04-25 10:26:46.939,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/135620/1/ORIGINAL/image_30592.jpeg,7.3337462,80.9943963,Uva,Badulla,Mahiyanganaya,Elewela,Badulla,Uva Sabaragamuwa,1,0,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/135620/1/INFERENCE/NAME_BOARD/image_30592.jpeg,,,RATHNA BOOK SHOP,Badulla 3,4
30817,1760372,1383026,2025-04-29 06:36:35.490,2025-04-25 10:48:45.847,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1383026/1/ORIGINAL/image_30817.jpeg,7.3410371,81.0325069,Uva,Badulla,Mahiyanganaya,Dehigolla,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1383026/1/INFERENCE/NAME_BOARD/image_30817.jpeg,,,Vinu colection,Badulla 3,4
31825,53734,61140,2025-04-29 06:36:35.490,2025-04-25 13:22:07.561,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/61140/1/ORIGINAL/image_31825.jpeg,6.955522,81.1209174,Uva,Badulla,Passara,Pelgahathenna,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/61140/1/INFERENCE/NAME_BOARD/image_31825.jpeg,,,DEBADDA STORES,Badulla 1,4
31593,1045752,814486,2025-04-29 06:36:35.490,2025-04-25 12:39:23.472,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/814486/1/ORIGINAL/image_31593.jpeg,8.6787756,80.3002435,Northern,Vavuniya,Vengalacheddiculam,Christhokulam,Vavuniya,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/814486/1/INFERENCE/NAME_BOARD/image_31593.jpeg,,,Ajith Store,Vavuniya,4
30655,116012,97620,2025-04-29 06:36:35.490,2025-04-25 10:32:40.421,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/97620/1/ORIGINAL/image_30655.jpeg,9.2769418,80.7510612,Northern,Mullaitivu,Maritimepattu,Keppapilavu,Mullaitivu,Northern,1,0,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/97620/1/INFERENCE/NAME_BOARD/image_30655.jpeg,,,Abi Multy Shop,Mullaitivu,4
31830,185192,138568,2025-04-29 06:36:35.490,2025-04-25 13:22:47.276,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/138568/1/ORIGINAL/image_31830.jpeg,9.3140658,80.6951362,Northern,Mullaitivu,Puthukkudiyiruppu,Puthukkudiyiruppu West,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/138568/1/INFERENCE/NAME_BOARD/image_31830.jpeg,,,PIRASATH PHONE SHOP,Mullaitivu,4
30771,184666,138349,2025-04-29 06:36:35.490,2025-04-25 10:44:14.195,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/138349/1/ORIGINAL/image_30771.jpeg,9.7551747,80.0379621,Northern,Jaffna,Uduvil,Erlalai South,Jaffna,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/138349/1/INFERENCE/NAME_BOARD/image_30771.jpeg,,,Abisan Stores,Jaffna Inner,4
30702,185708,139147,2025-04-29 06:36:35.490,2025-04-25 10:37:20.046,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/139147/1/ORIGINAL/image_30702.jpeg,7.3322736,81.0117955,Uva,Badulla,Mahiyanganaya,Elewela,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/139147/1/INFERENCE/NAME_BOARD/image_30702.jpeg,,,Jayasinha Grocery,Badulla 3,4
