IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_COUNT,MOBITEL_COUNT,HUTCH_COUNT,AIRTEL_COUNT,DIALOG_AREA_PERCENTAGE,AIRTEL_AREA_PERCENTAGE,MOBITEL_AREA_PERCENTAGE,HUTCH_AREA_PERCENTAGE,INF_S3_ARN,PROFILE_NAME,SHAPEISO,SHAPEID,CAPTURE_PHASE,SALES_AREA
28315,55446,49131,2025-04-26 06:40:52.155,2025-04-24 10:48:06.955,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/49131/2/ORIGINAL/image_28315.jpeg,6.8572515,81.3402763,Uva,Moneragala,Moneragala,Muppane,Monaragala,Uva Sabaragamuwa,4,0,0,1,96.79785362114323277,3.20214637885677478,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/49131/2/INFERENCE/PRESENSE/image_28315.jpeg,Easy Net,LK-82,,4,Monaragala 1
31182,202884,81853,2025-04-26 06:40:52.155,2025-04-25 11:25:27.613,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/81853/2/ORIGINAL/image_31182.jpeg,6.872212,81.3501396,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,0,1,0,0,0.00000000000000000,0.00000000000000000,100.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/81853/2/INFERENCE/PRESENSE/image_31182.jpeg,chinthaka st,LK-82,,4,Monaragala 1
31187,112438,98898,2025-04-26 06:40:52.155,2025-04-25 11:25:38.875,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/98898/2/ORIGINAL/image_31187.jpeg,6.8731295,81.3510693,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,2,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/98898/2/INFERENCE/PRESENSE/image_31187.jpeg,Chandana Stores,LK-82,,4,Monaragala 1
30415,1786992,1400566,2025-04-26 06:40:52.155,2025-04-25 10:09:43.701,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1400566/2/ORIGINAL/image_30415.jpeg,9.5793242,79.8407036,Northern,Jaffna,Velanai,Pungudutivu,Jaffna,Northern,2,0,0,1,99.06680745412516842,0.93319254587483236,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1400566/2/INFERENCE/PRESENSE/image_30415.jpeg,Luxana store,LK-41,,4,Jaffna Inner
31146,719813,582686,2025-04-26 06:39:54.380,2025-04-25 11:20:27.468,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/582686/2/ORIGINAL/image_31146.jpeg,9.717467,79.9818816,Northern,Jaffna,Sandilipay,Navali North,Jaffna,Northern,6,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/582686/2/INFERENCE/PRESENSE/image_31146.jpeg,Dajan stors,LK-41,,4,Jaffna Inner
32035,1522512,1207646,2025-04-26 06:39:54.380,2025-04-25 14:21:55.817,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1207646/2/ORIGINAL/image_32035.jpeg,9.7721307,80.1095314,Northern,Jaffna,Kopay,Atchuvely South,Jaffna,Northern,0,1,0,0,0.00000000000000000,0.00000000000000000,100.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1207646/2/INFERENCE/PRESENSE/image_32035.jpeg,Global Food Mart,LK-41,,4,Jaffna Inner
30892,172414,131887,2025-04-26 06:39:54.380,2025-04-25 10:56:15.504,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/131887/2/ORIGINAL/image_30892.jpeg,9.7887363,79.983436,Northern,Jaffna,Sandilipay,Periyavillan,Jaffna,Northern,3,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/131887/2/INFERENCE/PRESENSE/image_30892.jpeg,Shanujan Stores,LK-41,,4,Jaffna Inner
29133,986772,770986,2025-04-26 06:39:54.380,2025-04-24 12:21:47.372,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/770986/2/ORIGINAL/image_29133.jpeg,9.7289209,80.0127611,Northern,Jaffna,Uduvil,Uduvil Centre,Jaffna,Northern,10,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/770986/2/INFERENCE/PRESENSE/image_29133.jpeg,Lenin store,LK-41,,4,Jaffna Inner
30848,68902,59663,2025-04-26 06:39:54.380,2025-04-25 10:51:15.173,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/59663/2/ORIGINAL/image_30848.jpeg,9.7189812,80.0099976,Northern,Jaffna,Uduvil,Uduvil South  East,Jaffna,Northern,1,1,0,0,82.42228249530565165,0.00000000000000000,17.57771750469434480,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/59663/2/INFERENCE/PRESENSE/image_30848.jpeg,Karan Stores,LK-41,,4,Jaffna Inner
31329,68723,28724,2025-04-26 06:39:54.380,2025-04-25 11:47:11.277,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/28724/2/ORIGINAL/image_31329.jpeg,9.7877656,80.1193745,Northern,Jaffna,Kopay,Pathameny,Jaffna,Northern,0,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/28724/2/INFERENCE/PRESENSE/image_31329.jpeg,Ruban Stores,LK-41,,4,Jaffna Inner
